66
150	1775	2019	1	2	60
148	1775	2019	2	2	50
146	1775	2019	2	1	40
138	1775	2019	1	1	60
152	1775	2018	2	1	40
141	1775	2018	2	5	40
142	1034	2019	2	6	20
139	1034	2019	2	1	50
132	1034	2018	2	1	50
144	1034	2019	2	7	40
104	1556	2018	1	1	60
100	1556	2017	1	1	80
103	1556	2017	1	7	60
102	1556	2017	1	5	60
123	1556	2016	1	6	20
117	1556	2019	1	1	50
101	1556	2017	2	1	12
125	1556	2016	1	1	50
129	1861	2019	1	1	50
133	1329	2019	1	1	60
135	1319	2019	1	1	70
140	1381	2019	1	1	60
154	1807	2019	1	2	60
143	1826	2019	1	1	70
115	1740	2019	2	1	20
121	1740	2019	2	3	20
108	1491	2019	2	1	50
119	1491	2017	2	10	60
145	1887	2019	1	1	80
147	1683	2019	1	1	60
158	1683	2019	1	2	60
159	1573	2019	2	1	50
149	1573	2019	1	1	70
151	1929	2019	1	1	70
153	1975	2019	1	1	70
157	1799	2019	2	1	60
155	1799	2019	1	1	75
113	1856	2019	1	2	60
156	1856	2019	1	1	72
116	1724	2019	1	1	60
118	1513	2019	1	1	70
110	1024	2019	1	1	70
111	1024	2017	2	20	60
120	1097	2019	1	1	80
163	1214	2128	1	1	23
122	1214	2019	1	1	70
162	1214	2918	1	2	80
136	1278	2018	2	1	50
124	1343	2019	1	1	70
126	1382	2019	1	1	70
105	1429	2017	2	3	40
127	1632	2019	1	1	80
107	1896	2017	3	4	50
106	1896	2019	2	1	60
109	1896	2019	2	3	50
130	1896	2016	2	1	50
131	1270	2019	1	1	80
114	1692	2019	2	1	30
112	1692	2019	2	20	20
161	1692	2018	2	1	50
128	1692	2019	2	2	60
134	1475	2019	2	1	90
160	1475	2019	1	2	20
137	1618	2019	1	1	80
164	1573	2018	2	1	50
165	1573	2018	2	2	60
